Wavelength (nm),PpIX634,PpIX620,Lipofuscin,Flavin,NADH,FAD,Collagen,Elastin,Melanin
624,0.107902888,0.165035302,0.101634182,0,0.006941342,0.006930638,0.010496199,0,0.030115147
625,0.119822256,0.15550813,0.101639975,0,0.006815802,0.006592439,0.010087374,0,0.029231461
626,0.1320369,0.14544023,0.101484976,0,0.006692532,0.006252514,0.009694997,0,0.028286351
627,0.144207284,0.135154892,0.101177079,0,0.006571491,0.005918314,0.009316662,0,0.027292569
628,0.155948342,0.124909331,0.100731809,0,0.00645264,0.005595771,0.008949582,0,0.026265816
629,0.166848242,0.114900759,0.100171973,0,0.006335938,0.005288449,0.008591172,0,0.025223831
630,0.176491238,0.105281217,0.099530086,0,0.006221347,0.004996958,0.008238877,0,0.024185406
631,0.184481306,0.096173391,0.098834458,0,0.006108828,0.004720361,0.007890067,0,0.023169618
632,0.19046905,0.087681421,0.098093341,0,0.005998344,0.004457115,0.007542192,0,0.022195408
633,0.194182468,0.079894252,0.097305198,0,0.005889859,0.0042055,0.007193065,0,0.021280464
634,0.195457421,0.072882746,0.096467907,0,0.005783335,0.003964097,0.006841002,0,0.020439887
635,0.194261947,0.06669402,0.095580016,0,0.005678738,0.003732375,0.006484805,0,0.019684867
636,0.190706456,0.061346781,0.094644149,0,0.005576033,0.00362327,0.00612359,0,0.019021406
637,0.185034494,0.05683006,0.093666885,0,0.005475186,0.003458968,0.005756489,0,0.018450155
638,0.177593566,0.053105825,0.092654894,0,0.005376162,0.0032496,0.005382492,0,0.017967093
639,0.168791395,0.050114419,0.091610336,0,0.005278929,0.003004665,0.00500032,0,0.017563672
640,0.159047391,0.047781205,0.090529823,0,0.005183455,0.002733059,0.004609412,0,0.01722788
641,0.148750352,0.046023157,0.089408305,0,0.005089707,0.002443079,0.004210839,0,0.016945434
642,0.138230927,0.044754928,0.088247955,0,0.004997655,0.002142439,0.003807625,0,0.016701036
643,0.127752183,0.043894454,0.087051795,0,0.004907268,0.001838279,0.00340449,0,0.016479701
644,0.117515823,0.043368224,0.08582493,0,0.004818516,0.00153717,0.003006996,0,0.016268052
645,0.107677347,0.043115898,0.084578913,0,0.004731369,0.001245119,0.002620489,0,0.016054203
646,0.10012504,0.043093485,0.083331387,0,0.004645798,0.000967592,0.0022502,0,0.015827447
647,0.094117537,0.043274164,0.08210329,0,0.004561774,0.000709631,0.001901362,0,0.0155786
648,0.087017223,0.043646185,0.0809154,0,0.00447927,0.000475955,0.001579393,0,0.015300338
649,0.079615914,0.044208145,0.079789566,0,0.004398259,0.000271028,0.00128993,0,0.0149875
650,0.073261229,0.044962722,0.078742996,0,0.004318712,9.91E-05,0.001037372,0,0.014637401
651,0.067866121,0.045910501,0.077791008,0,0.004240604,0,0.000823837,0,0.014250246
652,0.063276042,0.047045432,0.076948443,0,0.004163909,0,0.000648884,0,0.013829078
653,0.059336052,0.048352815,0.076223672,0,0.004088601,0,0.000536505,0,0.013378873
654,0.055977448,0.049809873,0.075623769,0,0.004014655,0,0.000388233,0,0.012905852
655,0.053221347,0.051388171,0.075155766,0,0.003942046,0,0.000235659,0,0.012416898
656,0.051692819,0.053056779,0.074825052,0,0.003870751,0,0.000102723,0,0.011918904
657,0.050855003,0.054785221,0.074631164,0,0.003800745,0,8.33E-06,0,0.011418068
658,0.050549879,0.056545756,0.074563114,0,0.003732005,0,0,0,0.010919167
